"selec","View","Channel","start","end","bottom.freq","top.freq","sound.files","Begin Path","File Offset (s)","Recording","Model species","Vocalization","selec.file","Song","source","species.vocalization"
23,"Spectrogram 1",1,21.8148,22.065822707,1.401483,2.137928,"INVEST_0094.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav",21.8148,"Focal","Ramphastos sulfuratus","Ramphastos sulfuratus","INVEST_0094.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-R.sulfuratus"
24,"Spectrogram 1",1,24.0903,24.443096794,1.215684,2.137928,"INVEST_0094.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav",24.0903,"Focal","Ramphastos sulfuratus","Ramphastos sulfuratus","INVEST_0094.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-R.sulfuratus"
25,"Spectrogram 1",1,24.7077,25.007577276,1.214619,2.012167,"INVEST_0094.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav",24.7077,"Focal","Ramphastos sulfuratus","Ramphastos sulfuratus","INVEST_0094.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-R.sulfuratus"
26,"Spectrogram 1",1,25.3251,25.695536634,1.341445,2.012167,"INVEST_0094.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav",25.3251,"Focal","Ramphastos sulfuratus","Ramphastos sulfuratus","INVEST_0094.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-R.sulfuratus"
27,"Spectrogram 1",1,25.9778,26.277677276,1.339195,2.137928,"INVEST_0094.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav",25.9778,"Focal","Ramphastos sulfuratus","Ramphastos sulfuratus","INVEST_0094.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-R.sulfuratus"
28,"Spectrogram 1",1,26.507,26.859796794,1.152331,2.137928,"INVEST_0094.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav",26.507,"Focal","Ramphastos sulfuratus","Ramphastos sulfuratus","INVEST_0094.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-R.sulfuratus"
29,"Spectrogram 1",1,27.2125,27.653495993,1.308051,2.137928,"INVEST_0094.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav",27.2125,"Focal","Ramphastos sulfuratus","Ramphastos sulfuratus","INVEST_0094.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-R.sulfuratus"
30,"Spectrogram 1",1,27.8123,28.270935833,1.339195,1.886407,"INVEST_0094.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav",27.8123,"Focal","Ramphastos sulfuratus","Ramphastos sulfuratus","INVEST_0094.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-R.sulfuratus"
31,"Spectrogram 1",1,28.537611782,28.788633743,1.142088,1.960004,"INVEST_0094.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav",28.5376,"Focal","Ramphastos sulfuratus","Ramphastos sulfuratus","INVEST_0094.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-R.sulfuratus"
32,"Spectrogram 1",1,29.1,29.452796794,1.276907,2.054087,"INVEST_0094.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav",29.1,"Focal","Ramphastos sulfuratus","Ramphastos sulfuratus","INVEST_0094.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-R.sulfuratus"
