path,filename,X1,fold,target,category,pred
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070226.wav_16.wav,20200805-070226.wav_16.wav,218,mimetic,6,P.tricarunculatus-Talamanca,P.tricarunculatus-Nicaragua
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070226.wav_17.wav,20200805-070226.wav_17.wav,219,mimetic,6,P.tricarunculatus-Talamanca,P.tricarunculatus-Nicaragua
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070226.wav_18.wav,20200805-070226.wav_18.wav,220,mimetic,6,P.tricarunculatus-Talamanca,P.tricarunculatus-Nicaragua
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070226.wav_19.wav,20200805-070226.wav_19.wav,221,mimetic,6,P.tricarunculatus-Talamanca,P.tricarunculatus-Nicaragua
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070226.wav_20.wav,20200805-070226.wav_20.wav,222,mimetic,6,P.tricarunculatus-Talamanca,P.tricarunculatus-Nicaragua
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070318.wav_1.wav,20200805-070318.wav_1.wav,223,mimetic,6,P.tricarunculatus-Talamanca,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070318.wav_2.wav,20200805-070318.wav_2.wav,224,mimetic,2,P.torquatus,P.torquatus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070358.wav_1.wav,20200805-070358.wav_1.wav,225,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070358.wav_2.wav,20200805-070358.wav_2.wav,226,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070358.wav_3.wav,20200805-070358.wav_3.wav,227,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070358.wav_4.wav,20200805-070358.wav_4.wav,228,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070358.wav_5.wav,20200805-070358.wav_5.wav,229,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070358.wav_6.wav,20200805-070358.wav_6.wav,230,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070358.wav_7.wav,20200805-070358.wav_7.wav,231,mimetic,6,P.tricarunculatus-Talamanca,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070358.wav_8.wav,20200805-070358.wav_8.wav,232,mimetic,2,P.torquatus,P.torquatus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070530.wav_1.wav,20200805-070530.wav_1.wav,233,mimetic,2,P.torquatus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070530.wav_2.wav,20200805-070530.wav_2.wav,234,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070530.wav_3.wav,20200805-070530.wav_3.wav,235,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070530.wav_4.wav,20200805-070530.wav_4.wav,236,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070530.wav_5.wav,20200805-070530.wav_5.wav,237,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070530.wav_6.wav,20200805-070530.wav_6.wav,238,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070530.wav_7.wav,20200805-070530.wav_7.wav,239,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070530.wav_8.wav,20200805-070530.wav_8.wav,240,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070530.wav_9.wav,20200805-070530.wav_9.wav,241,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070530.wav_10.wav,20200805-070530.wav_10.wav,242,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070530.wav_11.wav,20200805-070530.wav_11.wav,243,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070530.wav_12.wav,20200805-070530.wav_12.wav,244,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070530.wav_13.wav,20200805-070530.wav_13.wav,245,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070530.wav_14.wav,20200805-070530.wav_14.wav,246,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070530.wav_15.wav,20200805-070530.wav_15.wav,247,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070636.wav_1.wav,20200805-070636.wav_1.wav,248,mimetic,2,P.torquatus,P.torquatus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070636.wav_2.wav,20200805-070636.wav_2.wav,249,mimetic,2,P.torquatus,P.torquatus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070636.wav_3.wav,20200805-070636.wav_3.wav,250,mimetic,2,P.torquatus,P.torquatus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070636.wav_4.wav,20200805-070636.wav_4.wav,251,mimetic,2,P.torquatus,P.torquatus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070636.wav_5.wav,20200805-070636.wav_5.wav,252,mimetic,2,P.torquatus,P.torquatus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-071606.wav_1.wav,20200805-071606.wav_1.wav,253,mimetic,2,P.torquatus,P.tricarunculatus-Nicaragua
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-071606.wav_2.wav,20200805-071606.wav_2.wav,254,mimetic,2,P.torquatus,P.torquatus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-071606.wav_3.wav,20200805-071606.wav_3.wav,255,mimetic,2,P.torquatus,P.torquatus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-071606.wav_4.wav,20200805-071606.wav_4.wav,256,mimetic,2,P.torquatus,P.torquatus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-071642.wav_1.wav,20200805-071642.wav_1.wav,257,mimetic,2,P.torquatus,P.torquatus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-071642.wav_2.wav,20200805-071642.wav_2.wav,258,mimetic,6,P.tricarunculatus-Talamanca,P.tricarunculatus-Monteverde
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-071642.wav_3.wav,20200805-071642.wav_3.wav,259,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-071642.wav_4.wav,20200805-071642.wav_4.wav,260,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-071642.wav_5.wav,20200805-071642.wav_5.wav,261,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-071642.wav_6.wav,20200805-071642.wav_6.wav,262,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-071642.wav_7.wav,20200805-071642.wav_7.wav,263,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-071642.wav_8.wav,20200805-071642.wav_8.wav,264,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-071642.wav_9.wav,20200805-071642.wav_9.wav,265,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-071642.wav_10.wav,20200805-071642.wav_10.wav,266,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-071719.wav_1.wav,20200805-071719.wav_1.wav,267,mimetic,2,P.torquatus,P.torquatus
